;NAME;JOBREF;CORRSTARTTIME;CORRSTOPTIME;QTYGOOD;CORRSTARTDATE;CORRSTOPDATE
632;CF76S : 1130 x 540 : H/H : 140G : ST1 : 3D/3F/2B/12T : 76SIL;529500;51461;53187;0.0;2018-09-13;2018-09-13
633;CF56S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;531337;25251;31240;41.0;2018-09-14;2018-09-14
634;BD30 : 1175 x 576 : H/H : 190M : ST1 : 3D/4F/4B/12T : SA;531736;37207;45067;48.0;2018-09-14;2018-09-14
635;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530602;45067;49500;55.0;2018-09-14;2018-09-14
636;BD30 : 1175 x 676 : H/H : 190M : ST1 : 3D/4F/4B/12T : SA;531960;34378;38736;40.0;2018-09-19;2018-09-19
637;CF76S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : 76SIL;532383;39238;47845;96.0;2018-09-24;2018-09-24
638;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;532455;40742;45573;64.0;2018-09-25;2018-09-25
639;CF56S : 990 x 540 : H/H : 140G : ST1 : 4D/3F/2B/12T : HACF;531492;45573;49510;48.0;2018-09-25;2018-09-25
640;CF56S : 990 x 540 : H/H : 140G : ST1 : 4D/3F/2B/12T : HACF;531492;49510;54619;48.0;2018-09-25;2018-09-25
641;CF56S : 990 x 540 : H/H : 140G : ST1 : 4D/3F/2B/12T : HACF;531492;49510;54619;48.0;2018-09-25;2018-09-25
642;CF56S : 990 x 540 : H/H : 140G : ST1 : 4D/3F/2B/12T : HACF;531492;54619;54655;0.0;2018-09-25;2018-09-25
643;CF56S : 990 x 540 : H/H : 140G : ST1 : 4D/3F/2B/12T : HACF;531492;54619;54655;0.0;2018-09-25;2018-09-25
644;BD30 : 1175 x 676 : H/H : 190M : ST1 : 3D/4F/4B/12T : SA;532098;25200;31468;48.0;2018-09-26;2018-09-26
645;SW56-1 : 1275 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;531909;42363;48063;48.0;2018-09-26;2018-09-26
646;CF36LM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;532497;48063;53717;56.0;2018-09-26;2018-09-26
647;CF36LM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;532497;48063;53717;56.0;2018-09-26;2018-09-26
648;CF36LM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;532497;54187;54369;0.0;2018-09-26;2018-09-26
649;CF36LM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;532497;54187;54369;0.0;2018-09-26;2018-09-26
650;SW56-1 : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;531908;34338;40310;64.0;2018-09-27;2018-09-27
651;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;531647;40310;49435;80.0;2018-09-27;2018-09-27
652;SW56-6 : 1095 x 676 : H/H : 190F/H : ST1 : 2D/4F/4B/3T : SA;532546;43278;46752;50.0;2018-09-28;2018-09-28
653;CF56S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;532831;38080;51072;114.0;2018-10-01;2018-10-01
654;CF56S : 1130 x 540 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;532335;25200;35457;72.0;2018-10-02;2018-10-02
655;CF56S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;532436;35457;45721;96.0;2018-10-02;2018-10-02
656;CF76S : 1130 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : 76SIL;532741;45721;50430;48.0;2018-10-02;2018-10-02
657;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;532797;25456;30449;48.0;2018-10-03;2018-10-03
658;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;532704;25200;31454;71.0;2018-10-05;2018-10-05
659;SP16-1 : 1175 x 576 : 115G : ST1 : 3D/3G/3B/12T : HA;532492;31454;41222;19.0;2018-10-05;2018-10-05
660;CF56S : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;532491;41252;43099;19.0;2018-10-05;2018-10-05
